Date,Downy Mildew,Powdery Mildew,Anthracnose,Bacterial Spot,Rust,Bunch Rot
10 February 2022,,,,,,
03 February 2022,nil,moderate,nil,nil,,moderate
27 January 2022,nil,moderate,nil,nil,,moderate
20 January 2022,nil,moderate,nil,nil,,moderate
13 January 2022,,,,,,
06 January 2022,moderate,moderate,nil,nil,,moderate
30 December 2021,moderate,moderate,nil,nil,,moderate
23 December 2021,,,,,,
16 December 2021,high,moderate,low,nil,,high
09 December 2021,high,moderate,moderate,low,,high
02 December 2021,high,moderate,moderate,low,,
25 November 2021,high,moderate,moderate,low,,moderate
18 November 2021,high,moderate,moderate,low,,
11 November 2021,low,nil,moderate,high,moderate,
04 November 2021,low,nil,moderate,high,moderate,
28 October 2021,low,nil,moderate,high,moderate,
21 October 2021,low,nil,moderate,high,moderate,
14 October 2021,low,nil,moderate,high,moderate,
07 October 2021,low,nil,moderate,high,moderate,
30 September 2021,low,nil,moderate,high,moderate,
23 September 2021,low,nil,high,high,moderate,
16 September 2021,low,nil,high,high,moderate,
09 September 2021,,,,,,
02 September 2021,low,low,high,high,moderate,
26 August 2021,,,,,,
19 August 2021,,,,,,
12 August 2021,low,low,low,nil,,
05 August 2021,low,low,high,moderate,,
29 July 2021,low,low,high,moderate,,
22 July 2021,low,low,high,moderate,,
15 July 2021,,,,,,
08 July 2021,low,low,high,moderate,,
01 July 2021,low,low,high,moderate,,
24 June 2021,,,,,,
17 June 2021,low,nil,moderate,moderate,,
10 June 2021,nil,nil,low,moderate,,
03 June 2021,nil,nil,low,moderate,,
27 May 2021,nil,nil,nil,nil,,
20 May 2021,nil,nil,nil,nil,,
13 May 2021,nil,nil,nil,nil,,
06 May 2021,nil,nil,nil,nil,,
29 April 2021,nil,nil,nil,nil,,
22 April 2021,nil,nil,nil,nil,,
15 April 2021,nil,nil,nil,nil,,
08 April 2021,nil,nil,nil,nil,,
01 April 2021,nil,nil,nil,nil,,
25 March 2021,,,,,,
18 March 2021,nil,low,nil,nil,,
11 March 2021,nil,low,nil,nil,,
04 March 2021,nil,low,nil,nil,,
25 February 2021,nil,low,nil,nil,,
18 February 2021,nil,low,nil,nil,,
11 February 2021,nil,low,nil,nil,,
04 February 2021,nil,low,nil,nil,,
28 January 2021,nil,low,nil,nil,,
21 January 2021,,,,,,
14 January 2021,nil,moderate,nil,nil,,
07 January 2021,low,moderate,nil,nil,,
31 December 2020,low,moderate,nil,nil,,
24 December 2020,low,moderate,low,nil,,
17 December 2020,low,moderate,low,nil,,
10 December 2020,low,moderate,low,nil,,
03 December 2020,low,moderate,low,nil,,
26 November 2020,low,moderate,low,nil,,
19 November 2020,low,moderate,low,nil,,
12 November 2020,low,moderate,low,nil,,
05 November 2020,moderate,moderate,moderate,moderate,,
29 October 2020,high,moderate,high,moderate,,
22 October 2020,high,moderate,high,moderate,,
15 October 2020,high,moderate,high,moderate,,
08 October 2020,moderate,low,high,nil,,
01 October 2020,,,,,,
24 September 2020,moderate,moderate,high,nil,,
17 September 2020,moderate,low,high,moderate,,
10 September 2020,moderate,moderate,high,moderate,,
03 September 2020,moderate,moderate,high,moderate,,
27 August 2020,moderate,low,high,moderate,,
20 August 2020,moderate,nil,high,moderate,,
13 August 2020,moderate,nil,high,moderate,,
06 August 2020,moderate,nil,high,moderate,moderate,
30 July 2020,moderate,low,high,moderate,,
23 July 2020,moderate,low,high,moderate,,
16 July 2020,moderate,nil,high,moderate,moderate,
09 July 2020,moderate,nil,high,moderate,,
02 July 2020,moderate,nil,high,moderate,,
25 June 2020,low,nil,high,moderate,,
18 June 2020,low,nil,moderate,nil,,
11 June 2020,low,nil,moderate,nil,,
04 June 2020,,,,,,
28 May 2020,low,nil,very low,nil,,
21 May 2020,,,,,,
14 May 2020,low,nil,very low,nil,,
07 May 2020,nil,nil,very low,nil,,
30 April 2020,nil,nil,very low,nil,,
23 April 2020,nil,nil,very low,nil,,
16 April 2020,nil,nil,very low,nil,,
09 April 2020,nil,nil,very low,nil,,
02 April 2020,nil,nil,nil,nil,,
26 March 2020,,,,,,
19 March 2020,nil,nil,nil,nil,,
12 March 2020,nil,low,nil,nil,,
05 March 2020,nil,low,nil,nil,,
27 February 2020,nil,low,nil,nil,,
20 February 2020,nil,low,nil,nil,,
13 February 2020,nil,low,nil,nil,,
06 February 2020,,,,,,
30 January 2020,nil,moderate,nil,nil,,
23 January 2020,nil,moderate,nil,nil,,
16 January 2020,,,,,,
09 January 2020,nil,moderate,nil,nil,,
02 January 2020,nil,moderate,nil,nil,,
26 December 2019,low,moderate,nil,nil,,
19 December 2019,low,moderate,nil,nil,,
12 December 2019,low,moderate,nil,nil,,
05 December 2019,low,moderate,nil,nil,,
28 November 2019,high,moderate,nil,nil,,
21 November 2019,high,moderate,low,nil,,
14 November 2019,,,,,,
07 November 2019,high,nil,moderate,moderate,moderate,
31 October 2019,,,,,,
24 October 2019,high,nil,moderate,moderate,moderate,
17 October 2019,high,nil,moderate,moderate,moderate,
10 October 2019,high,nil,low,moderate,moderate,
03 October 2019,low-moderate,nil,low-moderate,moderate,moderate,
26 September 2019,,,,,,
19 September 2019,moderate,low,high,moderate,moderate,
12 September 2019,,,,,,
05 September 2019,moderate,low,high,moderate,moderate,
29 August 2019,moderate,low,high,moderate,moderate,
22 August 2019,moderate,low,high,moderate,moderate,
15 August 2019,moderate,low,high,moderate,moderate,
08 August 2019,moderate,low,high,moderate,,
01 August 2019,moderate,moderate,high,moderate,,
25 July 2019,,,,,,
18 July 2019,moderate,moderate,high,moderate,,
11 July 2019,moderate,moderate,high,moderate,,
04 July 2019,moderate,low,high,moderate,,
27 June 2019,moderate,low,high,moderate,,
20 June 2019,low,low,high,moderate,,
13 June 2019,,,,,,
06 June 2019,low,low,low,low,,
30 May 2019,nil,low,low,nil,,
23 May 2019,nil,low,low,nil,,
16 May 2019,nil,low,nil,nil,,
09 May 2019,nil,low,nil,nil,,
02 May 2019,nil,low,nil,nil,,
25 April 2019,nil,nil,low,low,,
18 April 2019,nil,nil,low,low,,
11 April 2019,,,,,,
04 April 2019,nil,nil,low,low,,
28 March 2019,nil,nil,nil,nil,,
21 March 2019,,,,,,
14 March 2019,,,,,,
07 March 2019,,,,,,
28 February 2019,,,,,,
21 February 2019,,,,,,
14 February 2019,low,moderate,nil,nil,,
07 February 2019,,,,,,
31 January 2019,,,,,,
24 January 2019,,,,,,
17 January 2019,,,,,,
10 January 2019,low,moderate,nil,nil,,
03 January 2019,low,moderate,nil,nil,,
27 December 2018,low,moderate,nil,nil,,
20 December 2018,moderate,moderate,nil,nil,,
13 December 2018,moderate,moderate,nil,nil,,
06 December 2018,,,,,,
29 November 2018,,,,,,
22 November 2018,low,moderate,nil,nil,,
15 November 2018,low,moderate,nil,nil,,
08 November 2018,,,,,,
01 November 2018,,,,,,
25 October 2018,low,nil,nil,nil,,
18 October 2018,,,,,,
11 October 2018,low,nil,nil,nil,,
04 October 2018,,,,,,
27 September 2018,,,,,,
20 September 2018,,,,,,
13 September 2018,,,,,,
06 September 2018,,,,,,
30 August 2018,,,,,,
23 August 2018,,,,,,
16 August 2018,moderate,moderate,high,moderate,moderate,
09 August 2018,moderate,moderate,high,moderate,moderate,
02 August 2018,moderate,moderate,high,moderate,moderate,
26 July 2018,moderate,moderate,high,moderate,moderate,
19 July 2018,moderate,moderate,moderate,moderate,,
12 July 2018,moderate,moderate,moderate,moderate,moderate,
