Date,Downy Mildew,Powdery Mildew,Anthracnose,Bacterial Spot,Rust,Bunch Rot
2022-02-03,nil,moderate,nil,nil,,moderate
2022-01-27,nil,moderate,nil,nil,,moderate
2022-01-20,nil,moderate,nil,nil,,moderate
2022-01-13,,,,,,
2022-01-06,moderate,moderate,nil,nil,,moderate
2021-12-30,moderate,moderate,nil,nil,,moderate
2021-12-23,,,,,,
2021-12-16,high,moderate,low,nil,,high
2021-12-09,high,moderate,moderate,low,,high
2021-12-02,high,moderate,moderate,low,,
2021-11-25,high,moderate,moderate,low,,moderate
2021-11-18,high,moderate,moderate,low,,
2021-11-11,low,nil,moderate,high,moderate,
2021-11-04,low,nil,moderate,high,moderate,
2021-10-28,low,nil,moderate,high,moderate,
2021-10-21,low,nil,moderate,high,moderate,
2021-10-14,low,nil,moderate,high,moderate,
2021-10-07,low,nil,moderate,high,moderate,
2021-09-30,low,nil,moderate,high,moderate,
2021-09-23,low,nil,high,high,moderate,
2021-09-16,low,nil,high,high,moderate,
2021-09-09,,,,,,
2021-09-02,low,low,high,high,moderate,
2021-08-26,,,,,,
2021-08-19,,,,,,
2021-08-12,low,low,low,nil,,
2021-08-05,low,low,high,moderate,,
2021-07-29,low,low,high,moderate,,
2021-07-22,low,low,high,moderate,,
2021-07-15,,,,,,
2021-07-08,low,low,high,moderate,,
2021-07-01,low,low,high,moderate,,
2021-06-24,,,,,,
2021-06-17,low,nil,moderate,moderate,,
2021-06-10,nil,nil,low,moderate,,
2021-06-03,nil,nil,low,moderate,,
2021-05-27,nil,nil,nil,nil,,
2021-05-20,nil,nil,nil,nil,,
2021-05-13,nil,nil,nil,nil,,
2021-05-06,nil,nil,nil,nil,,
2021-04-29,nil,nil,nil,nil,,
2021-04-22,nil,nil,nil,nil,,
2021-04-15,nil,nil,nil,nil,,
2021-04-08,nil,nil,nil,nil,,
2021-04-01,nil,nil,nil,nil,,
2021-03-25,,,,,,
2021-03-18,nil,low,nil,nil,,
2021-03-11,nil,low,nil,nil,,
2021-03-04,nil,low,nil,nil,,
2021-02-25,nil,low,nil,nil,,
2021-02-18,nil,low,nil,nil,,
2021-02-11,nil,low,nil,nil,,
2021-02-04,nil,low,nil,nil,,
2021-01-28,nil,low,nil,nil,,
2021-01-21,,,,,,
2021-01-14,nil,moderate,nil,nil,,
2021-01-07,low,moderate,nil,nil,,
2020-12-31,low,moderate,nil,nil,,
2020-12-24,low,moderate,low,nil,,
2020-12-17,low,moderate,low,nil,,
2020-12-10,low,moderate,low,nil,,
2020-12-03,low,moderate,low,nil,,
2020-11-26,low,moderate,low,nil,,
2020-11-19,low,moderate,low,nil,,
2020-11-12,low,moderate,low,nil,,
2020-11-05,moderate,moderate,moderate,moderate,,
2020-10-29,high,moderate,high,moderate,,
2020-10-22,high,moderate,high,moderate,,
2020-10-15,high,moderate,high,moderate,,
2020-10-08,moderate,low,high,nil,,
2020-10-01,,,,,,
2020-09-24,moderate,moderate,high,nil,,
2020-09-17,moderate,low,high,moderate,,
2020-09-10,moderate,moderate,high,moderate,,
2020-09-03,moderate,moderate,high,moderate,,
2020-08-27,moderate,low,high,moderate,,
2020-08-20,moderate,nil,high,moderate,,
2020-08-13,moderate,nil,high,moderate,,
2020-08-06,moderate,nil,high,moderate,moderate,
2020-07-30,moderate,low,high,moderate,,
2020-07-23,moderate,low,high,moderate,,
2020-07-16,moderate,nil,high,moderate,moderate,
2020-07-09,moderate,nil,high,moderate,,
2020-07-02,moderate,nil,high,moderate,,
2020-06-25,low,nil,high,moderate,,
2020-06-18,low,nil,moderate,nil,,
2020-06-11,low,nil,moderate,nil,,
2020-06-04,,,,,,
2020-05-28,low,nil,very low,nil,,
2020-05-21,,,,,,
2020-05-14,low,nil,very low,nil,,
2020-05-07,nil,nil,very low,nil,,
2020-04-30,nil,nil,very low,nil,,
2020-04-23,nil,nil,very low,nil,,
2020-04-16,nil,nil,very low,nil,,
2020-04-09,nil,nil,very low,nil,,
2020-04-02,nil,nil,nil,nil,,
2020-03-26,,,,,,
2020-03-19,nil,nil,nil,nil,,
2020-03-12,nil,low,nil,nil,,
2020-03-05,nil,low,nil,nil,,
2020-02-27,nil,low,nil,nil,,
2020-02-20,nil,low,nil,nil,,
2020-02-13,nil,low,nil,nil,,
2020-02-06,,,,,,
2020-01-30,nil,moderate,nil,nil,,
2020-01-23,nil,moderate,nil,nil,,
2020-01-16,,,,,,
2020-01-09,nil,moderate,nil,nil,,
2020-01-02,nil,moderate,nil,nil,,
2019-12-26,low,moderate,nil,nil,,
2019-12-19,low,moderate,nil,nil,,
2019-12-12,low,moderate,nil,nil,,
2019-12-05,low,moderate,nil,nil,,
2019-11-28,high,moderate,nil,nil,,
2019-11-21,high,moderate,low,nil,,
2019-11-14,,,,,,
2019-11-07,high,nil,moderate,moderate,moderate,
2019-10-31,,,,,,
2019-10-24,high,nil,moderate,moderate,moderate,
2019-10-17,high,nil,moderate,moderate,moderate,
2019-10-10,high,nil,low,moderate,moderate,
2019-10-03,low-moderate,nil,low-moderate,moderate,moderate,
2019-09-26,,,,,,
2019-09-19,moderate,low,high,moderate,moderate,
2019-09-12,,,,,,
2019-09-05,moderate,low,high,moderate,moderate,
2019-08-29,moderate,low,high,moderate,moderate,
2019-08-22,moderate,low,high,moderate,moderate,
2019-08-15,moderate,low,high,moderate,moderate,
2019-08-08,moderate,low,high,moderate,,
2019-08-01,moderate,moderate,high,moderate,,
2019-07-25,,,,,,
2019-07-18,moderate,moderate,high,moderate,,
2019-07-11,moderate,moderate,high,moderate,,
2019-07-04,moderate,low,high,moderate,,
2019-06-27,moderate,low,high,moderate,,
2019-06-20,low,low,high,moderate,,
2019-06-13,,,,,,
2019-06-06,low,low,low,low,,
2019-05-30,nil,low,low,nil,,
2019-05-23,nil,low,low,nil,,
2019-05-16,nil,low,nil,nil,,
2019-05-09,nil,low,nil,nil,,
2019-05-02,nil,low,nil,nil,,
2019-04-25,nil,nil,low,low,,
2019-04-18,nil,nil,low,low,,
2019-04-11,,,,,,
2019-04-04,nil,nil,low,low,,
2019-03-28,nil,nil,nil,nil,,
2019-03-21,,,,,,
2019-03-14,,,,,,
2019-03-07,,,,,,
2019-02-28,,,,,,
2019-02-21,,,,,,
2019-02-14,low,moderate,nil,nil,,
2019-02-07,,,,,,
2019-01-31,,,,,,
2019-01-24,,,,,,
2019-01-17,,,,,,
2019-01-10,low,moderate,nil,nil,,
2019-01-03,low,moderate,nil,nil,,
2018-12-27,low,moderate,nil,nil,,
2018-12-20,moderate,moderate,nil,nil,,
2018-12-13,moderate,moderate,nil,nil,,
2018-12-06,,,,,,
2018-11-29,,,,,,
2018-11-22,low,moderate,nil,nil,,
2018-11-15,low,moderate,nil,nil,,
2018-11-08,,,,,,
2018-11-01,,,,,,
2018-10-25,low,nil,nil,nil,,
2018-10-18,,,,,,
2018-10-11,low,nil,nil,nil,,
2018-10-04,,,,,,
2018-09-27,,,,,,
2018-09-20,,,,,,
2018-09-13,,,,,,
2018-09-06,,,,,,
2018-08-30,,,,,,
2018-08-23,,,,,,
2018-08-16,moderate,moderate,high,moderate,moderate,
2018-08-09,moderate,moderate,high,moderate,moderate,
2018-08-02,moderate,moderate,high,moderate,moderate,
2018-07-26,moderate,moderate,high,moderate,moderate,
2018-07-19,moderate,moderate,moderate,moderate,,
2018-07-12,moderate,moderate,moderate,moderate,moderate,
